candidate_id,category,subcategory,task_summary,skills
C_e7159449c1167dd76ded5e0b,,,"{
  ""category"": ""Косметология"",
  ""subcategory"": ""Инъекционная косметология"",
  ""skills"": [
    ""инъекционные методики"",
    ""практическое обучение"",
    ""эстетическая косметология"",
    ""групповые занятия"",
    ""индивидуальные занятия""
  ]",
C_74f1171b656358ecd54d47d3,IT-поддержка,Мобильная техническая поддержка,,"['установка приложений', 'настройка устройств Android', 'обновление прошивки']"
C_46c3ebd85ab39a7a2384636a,Бухгалтерский учет,Консультирование,,"['бухгалтерский учет', 'консультации', 'учебные вопросы']"
C_e0e40a8531972a1b509dd6b1,Мероприятия иEvents,Организация мероприятий,,"['организация праздников', 'подбор аниматоров', 'предоставление инвентаря', 'фирменное оформление']"
C_ea3e224844ab1d93e721bc70,ИТ-поддержка,Компьютерная техника,,"['техническая поддержка', 'сборка системных блоков', 'установка ОС', 'замена комплектующих', 'чистка устройств']"
C_053ffd9765b70b9c38899c34,,,"{
  ""category"": ""Медиа и数字助手：

根据您提供的描述，该专业人员主要涉及使用AI创建视频和动画内容，并提供在线的数字创作和动画服务。因此，可以将他的职业分类为“多媒体”领域。


{
  ""category"": ""Медиа"",
  ""subcategory"": ""Анимация и видеомонт",
C_1a23d033dff29923f0094a0d,Фотография,Индивидуальные съемки,,"['съемка на природе', 'фотосессии', 'цветокоррекция', 'помощь в позировании']"
C_1492aa2be62e06d6b703c341,Красота и здоровье,Маникюр и макияж,,"['наращивание ресниц', 'обучение', 'макияж', '美感和健康']"
C_d8b07140d514f75154cba5f2,Маркетинг,Цифровое маркетинг,,"['SEO-оптимизация', 'SMM', 'продвижение книг', 'контент-менеджмент']"
C_fd8bb9c2923844b41984e1b5,Дизайн,Маркетинговый дизайн,,"['презентации', 'инфографика', 'подбор цветовой палитры', 'шрифты']"
C_326279765aaea5fa013b035b,,,"{
  ""category"": ""Юридические услуги"",
  ""subcategory"": ""Уголовное право"",
  ""skills"": [
    ""сопровождение уголовных дел"",
    ""взаимодействие с правоохранительными органами"",
    ""участие в судебных заседаниях"",
    ""процессы в военных суд",
C_c893282334c1bbac9690d10f,Юридические услуги,Адвокатура и правовая поддержка,,"['судебные дела', 'фотофиксация', 'передача данных']"
C_cd448e03d8f017b8b81092b2,IT-разработка,Веб-разработка,,"['фронтенд-разработка', 'поддержка сайтов', 'веб-дизайн']"
C_1d833a3c3e905027525383fb,Контент-маркетинг,Написание и перевод текстов,,"['написание текстов', 'перевод текстов', 'SEO-оптимизация']"
C_b209b660c78beaf4cfd19c3f,Медиа и видео,Видеомонтаж,,"['монтаж видео', 'социальные сети', 'субтитры', 'нарезка видео']"
C_91530cf76053039f647715ad,Дизайн,Интерьерный дизайн,,"['комплектация интерьеров', 'составление смет', 'работа с поставщиками']"
C_fab1e0a9c6274691b47be373,Видеопроизводство,Видеограф,,"['съёмка мероприятий', 'монтаж видео', 'онлайн-трансляции']"
C_667d566d066cc355928f361f,Финансы,Налоговый учет,,"['возврат НДФЛ', 'подготовка декларации 3-НДФЛ', 'консультации по налоговым вычетам']"
C_ed85ff1472cfe329e1110aa1,Маркетинг,Мероприятия и событийное планирование,,"['организация мероприятий', 'технический персонал', 'декоративные элементы', 'логистика']"
C_4a55665ddc7ed399d0630c0f,IT-разработка,Программирование и разработка ПО,,"['Python', 'SQL', 'API', 'автоматизация', 'разработка ботов']"
C_262261713a2aaccb507c6f69,Маркетинг,Продвижение в интернете,,"['SEO-оптимизация', 'настройка рекламы', 'аналитика', 'работа с маркетплейсами']"
C_c45281b2b11af46842b031e3,Видеопроизводство,Контент-маркетинг,,"['свадебные фильмы', ' reklamные ролики', 'съёмка и монтаж', 'разработка сценариев']"
C_9ec4297e44561056c34ee6bf,Фотография,Свадебная и портретнаяphotография,,"['портретная съемка', 'событийная съемка', 'подготовка к съемке']"
C_d980f0b76aedc94df7b3a184,IT-поддержка,Монтаж и ремонт ПК,,"['подбор компьютеров', 'сборка ПК', 'ремонт ПК', 'обслуживание оргтехники', 'настройка оборудования']"
C_3a35d3f443a87a41f69aa971,Бухгалтерские услуги,Финансовый аутсорсинг,,"['подготовка первичной документации', 'налоговая отчетность', 'регистрация организаций']"
C_0061765d5bb91210637246d5,,,"{
  ""category"": ""Фотография и видео"",
  ""subcategory"": ""Мобильная фотосъемка и видеосъемка"",
  ""skills"": [
    ""съемка для социальных сетей"",
    "" reklamnye материалы"",
    ""события"",
    ""ретушь"",
    ""цветокоррекция""",
C_2a3f02be53ea37ab3a890ac5,Красота и здоровье,Мастер визажа и бровист,,"['макияж', 'коррекция бровей', 'окрашивание бровей', 'ламинирование ресниц']"
C_2b49a93c2787c6c1c8f774ca,,,"{
  ""category"": ""Бухгалтерский учет и аудит"",
  ""subcategory"": ""Налоговое планирование и консультации"",
  ""skills"": [
    ""бухгалтерский учет"",
    ""налоговые консультации"",
    ""МСФО"",
    ""оптовая торговля"",
    ""ВЭД",
C_d95521b881f81cab31c2c15a,Маркетинг,Интернет-маркетинг,,"['контекстная реклама', 'настройка рекламных кампаний', 'аналитика', 'оптимизация рекламы']"
C_dc63223e07ca9b19a752aa46,Дизайн,Интерьерный дизайн,,"['планировка интерьеров', 'визуализация', 'авторское сопровождение', 'проектирование мебели']"
C_77a77b2bd5fb54e83c4ff0b0,Экономика и финансы,Оценочная деятельность,,"['оценка объектов', 'судебно-оценочные экспертизы', 'оценка бизнеса', 'оценка недвижимости']"
C_a43ba3e310bbe95567758798,Игровое программирование,Разработка игр,,"['Roblox', 'программирование', 'гейм-дизайн', 'обучение', 'разработка игр для детей']"
