need_id,category,subcategory,task_summary
N_ebc9559a424de306b0dc1b4a,Дизайн,3D-моделирование,Создание 3D-моделей и анимации
N_f2365df8c9e0e164bcfe642f,Дизайн,анимация,создать анимационный ролик
N_f736b2786a4ba70e69b82c54,Дизайн,анимация,создать 3D-анимации и обложки
N_d7b293dde3307f437cd86295,Дизайн,анимация,создать 2D-анимацию
N_7d3e725a4160d813ab382bed,"Маркетинг (SMM, реклама, продвижение)",SMM,разработать стратегию развития аудитории
N_6aa6b8871c18130993271b09,"Маркетинг (SMM, реклама, продвижение)",копирайтинг,создать шаблон письма
N_1988f0f4fdf70ec61b8dca66,Дизайн,графический дизайн,разработать логотип и стиль публикаций
N_7f05cc1dbe0cfa08d68f35e9,Дизайн,графический дизайн,разработка иконок и элементов фирменного стиля
N_f8865b66aaea796680aa32f9,Дизайн,графический дизайн,разработать инфографику и шаблон презентации
N_048d51a36772a82acfae331a,IT-разработка и цифровые сервисы,разработка сайтов,разработка сайта и админки
N_74cf3abc1b8a998d0b8bb91f,Дизайн,графический дизайн,создать бренд-бук и презентацию
N_7107a11424e7d223c9d76676,Дизайн,графический дизайн,создать листовки и брошюру
N_8e4408cc2d37b84ae84fb320,"Маркетинг (SMM, реклама, продвижение)",SEO,настройка автоматизированной рассылки
N_6737b2fb7a7a25e309d51dd2,"Маркетинг (SMM, реклама, продвижение)",PR-стратегия,разработать PR-план
N_06588f2889c9810db7e3bc4d,IT-разработка и цифровые сервисы,CRM-система,настройка системы рассылок
N_53ab4ada75a5bd725e68bb96,Копирайтинг и редакция текста,копирайтинг,создание текста пожертвования
N_6e2ba29cd7550f6dc105a4d5,Дизайн,графический дизайн,создание презентации
N_783150a8b3070e8ed3ea85ea,Дизайн,верстка,создание брифов и макета магазина
N_2292c02a70509311bdd37c85,IT-разработка и цифровые сервисы,разработка сайтов,разработать сайт и шаблон для соцсетей
N_3962b5d9706acfd196bf99a3,"Маркетинг (SMM, реклама, продвижение)","копирайтинг, стратегия продвижения",создать маркетинговый план
N_a00829642e8ec3e95acb4219,Дизайн,графический дизайн,создать макет буклета
N_0b188abdf341c8956613777f,Копирайтинг и редакция текста,корректура,отредактировать тексты для email-рассылок
N_5b31f2b9be96610436f044e1,"Маркетинг (SMM, реклама, продвижение)",email-маркетинг,Аудит email-рассылок
N_661f3d42bba99eaeabacba43,IT-разработка и цифровые сервисы,настройка почтовых сервисов,Настройка почтового сервиса и обучения
N_301482151ad785f37b370e6f,"Маркетинг (SMM, реклама, продвижение)",email-маркетинг,создать велком-цепочку писем
N_1f0162192df688ff58a1a26d,IT-разработка и цифровые сервисы,Telegram-боты,создать чат-бота для регистрации
N_d4ee321c67339f2fd3681716,IT-разработка и цифровые сервисы,настройка почты,Настроить корпоративную почту
N_561f252111ac54892259c22f,IT-разработка и цифровые сервисы,разработка сайтов,создать сайт на Tilda
N_c26c294df0710c8a062132ef,IT-разработка и цифровые сервисы,аудит сайтов,провести аудит и доработать сайт
N_e0c9cb4e8d94b308a68d607b,IT-разработка и цифровые сервисы,разработка сайтов,выбор платформы и настройка платежной системы
N_fc1eb9bdef43df33e7ee1eda,IT-разработка и цифровые сервисы,разработка сайтов,Исправление формы сбора пожертвований
N_ed2a6e44f0cfcdcf207cba97,IT-разработка и цифровые сервисы,разработка сайтов,создать сайт и лендинг
N_41970a0e46cb068eaeea4b5d,IT-разработка и цифровые сервисы,разработка сайтов,разработка и обновление сайта
N_ff37ec3820a661babc5e9a30,IT-разработка и цифровые сервисы,WordPress,Доработка сайта
N_56269943c30c89a2d1adf25a,IT-разработка и цифровые сервисы,верстка,изменить шрифт и создать лендинг
N_4129e725bc1df272653218c3,IT-разработка и цифровые сервисы,переход на новый сайт,перенести сайт на новую платформу
N_6594e386ae65bf2367ce4dac,IT-разработка и цифровые сервисы,разработка сайтов,создать сайт для некоммерческой организации
N_e7f697db0ef2fcb526131578,IT-разработка и цифровые сервисы,разработка сайтов,провести аудит и модернизировать сайт
N_a889a6dc41f6e46f12aa99ab,IT-разработка и цифровые сервисы,аналитика и оптимизация сайтов,анализ данных и оптимизация сайта
N_21cf460e30ac1164f8529ff0,IT-разработка и цифровые сервисы,разработка сайтов,проектирование и создание сайта
N_27b1821119d6eb6d663e4975,IT-разработка и цифровые сервисы,аудит сайтов,провести аудит и доработать сайт
N_5c845acb350dba7d9273a53c,IT-разработка и цифровые сервисы,интеграция платежных систем,настроить Apple Pay и оптимизировать интерфейс
N_de6b9ecd296ed58771eb438d,IT-разработка и цифровые сервисы,разработка сайтов,разработать техническое задание и провести usability-аудит
N_0cd379fd6749f5fc437683bf,IT-разработка и цифровые сервисы,SEO,проводить аудит сайта
N_cc16bf36c0fae257f6e78b10,IT-разработка и цифровые сервисы,аудит сайтов,провести аудит сайта и предложить рекомендации
N_c742798584beb32db8751799,IT-разработка и цифровые сервисы,UX/UI тестирование,провести тестирование сайта
N_284f452270ee876d0086f3ad,IT-разработка и цифровые сервисы,SEO-оптимизация,аудит и оптимизация сайта
N_ca87bdd49cc7465e54e5ca7a,IT-разработка и цифровые сервисы,разработка сайтов,создать веб-портал для автоматизации
N_ef96964d584d071a24f4e3e2,IT-разработка и цифровые сервисы,разработка сайтов,создать сайт и настроить платежную систему
N_b52129fd53c55403fb141119,IT-разработка и цифровые сервисы,разработка сайтов,восстановление платежной системы
N_8672a63db666ca0b3a78b6fb,IT-разработка и цифровые сервисы,разработка сайтов,создать лендинг
N_3f3543bbde92840c8fb92913,IT-разработка и цифровые сервисы,аудит сайтов,провести аудит и доработать сайт
N_6ff050d85608f3449fdc5685,IT-разработка и цифровые сервисы,разработка сайтов,настройка почты и обновление сайта
N_4f1fd8e5b4962b55d389dfc6,IT-разработка и цифровые сервисы,разработка сайтов,создать лендинг и обновить сайт
N_38c927eecc81b00a42a1efd4,IT-разработка и цифровые сервисы,WordPress,обновление сайта WordPress
N_1df3b330fda76c0a5bed5b6b,IT-разработка и цифровые сервисы,аудит сайтов,провести аудит юзабилити и улучшить мобильную версию сайта
N_72aa62f63d1e6c89632bd317,IT-разработка и цифровые сервисы,WordPress,Настройка шаблона и обучение
N_fc1cc9755f3093dd9b98f3a3,IT-разработка и цифровые сервисы,Google Analytics,Настройка аналитических инструментов
N_2017032a4d468f87be49fc63,IT-разработка и цифровые сервисы,SEO-аудит,провести анализ сайта
N_691e3afbbc4141b2edaca714,Дизайн,графический дизайн,создать дизайн сайта
N_95990b55f39c1ad299261e2e,IT-разработка и цифровые сервисы,создание сайтов,выбрать домен и создать лендинг
N_98e4f32e54c5f8adf110f057,IT-разработка и цифровые сервисы,лендинги,создать лендинг и QR-код
N_fe9d66806b32460fcda7420f,IT-разработка и цифровые сервисы,WordPress,обновление сайта и добавление раздела
N_be63b6db5d455fde5a9d0835,IT-разработка и цифровые сервисы,"вебинары, аудит сайта",организовать вебинары и аудит сайта
N_7e222fd21376b83621fd57ce,IT-разработка и цифровые сервисы,переустановка ОС,переустановка ОС и перенос данных сайта
N_c4b906d8cf0885d3a3d04397,IT-разработка и цифровые сервисы,перенос сайтов,настройка платежной системы
N_46c3bb4a7cb67db74dad0eb1,IT-разработка и цифровые сервисы,разработка сайтов,устранение проблем с формами и платежами
N_47555894064fb613ccdda4a5,IT-разработка и цифровые сервисы,CRM,внедрение CRM и настройка ВПН
