need_id,category,fold
N_0084a2e99bee2145e45cbec9,Копирайтинг и редакция текста,4
N_010d1cd4b3dabaa37f416f09,Дизайн,1
N_015e788e6499d8516b9912b5,Копирайтинг и редакция текста,4
N_01b9a1de11992a913853d7f5,IT-разработка и цифровые сервисы,1
N_020001e73a19d36d395956e2,Дизайн,3
N_024117b93ab3f11c740f7192,Дизайн,4
N_02d9d5a9ea4362a32da96971,Копирайтинг и редакция текста,4
N_04736dac521cf32c766f4635,Переводы,2
N_047578757993b3fc13e828b4,Копирайтинг и редакция текста,2
N_0477926007b1b19fb7344401,"Маркетинг (SMM, реклама, продвижение)",3
N_048d51a36772a82acfae331a,IT-разработка и цифровые сервисы,4
N_059226a27b0a091276ee413e,Копирайтинг и редакция текста,2
N_05dbc0965cef5ae2ea6d0b18,Дизайн,1
N_06588f2889c9810db7e3bc4d,IT-разработка и цифровые сервисы,3
N_07269f89974b41ad281f4f16,"Маркетинг (SMM, реклама, продвижение)",1
N_07f3a67aad5636cf5a0b6d19,Дизайн,3
N_0808318dbb21c4e4c1f61fc3,IT-разработка и цифровые сервисы,0
N_08da6bfed65ee257bc8b8bd4,"Маркетинг (SMM, реклама, продвижение)",3
N_09e6010006f401f8d2ef5f56,Дизайн,4
N_0a38c1a2981f00287b6e0dff,"Логистика, перевозки",2
N_0a60f69706dbda7a18145fb0,IT-разработка и цифровые сервисы,2
N_0aca4b3d744ee2ccd293ced9,"Фото и видеосъемка, монтаж",0
N_0ad3025eea20fd2e264d4472,Дизайн,1
N_0b188abdf341c8956613777f,Копирайтинг и редакция текста,1
N_0b2de75be97a53c542d85b71,Дизайн,2
N_0b5c86d008dc8d72da53b275,Дизайн,0
N_0bacc27d074cbc10246bef80,Юриспруденция,1
N_0bd87a2ce1d22f7f5ffaf22d,Строительство и ремонт,3
N_0cb0f913b4cb255c0c7545ba,"Маркетинг (SMM, реклама, продвижение)",2
N_0cd379fd6749f5fc437683bf,IT-разработка и цифровые сервисы,1
N_0cf8c2fd906bc64c037972a7,Копирайтинг и редакция текста,2
N_0e23ebcf9a6ee815a2b48820,Дизайн,3
N_0e3eda7bf172cd2bac80a59f,Копирайтинг и редакция текста,1
N_0eedde28c800bf90481d9513,Дизайн,3
N_0efe10a6b9fb190bf4ccc7a1,Дизайн,2
N_0f639f271630263cd3519630,Дизайн,4
N_0fb81f9237ecbb9e69453a5f,Копирайтинг и редакция текста,0
N_0fd0cfbade8078e585ba0c1c,Дизайн,3
N_0fef695f43aaecf1fedb6563,Строительство и ремонт,0
N_1023ba9626483b08f92287a6,Дизайн,4
N_10f74857e3cc54ebc1b566a6,Юриспруденция,0
N_112bd7dfe5b16160596d54e2,Дизайн,3
N_115000fdb71b0c268fe2c0ec,Дизайн,2
N_1219eab0825945f1c3c8f55b,Дизайн,0
N_1255d9001e441529db53b098,Дизайн,2
N_1305dad528ed3223f9b8b460,Юриспруденция,0
N_1351e022328e349bbe13d53f,Помощь на дому,2
N_138e351302f0df54225855fa,Дизайн,3
N_13f52035148f73108e2dac31,Дизайн,4
N_14434e02d21b9fc53dc606e8,Юриспруденция,4
N_14451b481fa6be17f14561a2,"Маркетинг (SMM, реклама, продвижение)",4
N_1479a8d555f562ca8d1a4df2,"Маркетинг (SMM, реклама, продвижение)",3
N_14da9be73a9a483888b9aa44,Дизайн,4
N_15746dabfbde94b279cdc891,IT-разработка и цифровые сервисы,0
N_15e4011196f93475b857746b,Дизайн,3
N_166fdbcf7e3a4265566dd25d,Дизайн,4
N_1696cf842474ec592c9fa7a8,Юриспруденция,4
N_169bf49245186d61f140cb2a,Дизайн,1
N_16b6b10489188fb9ae9ca0da,Дизайн,3
N_16bb10206c1e04202042444b,Помощь на дому,0
N_1712a456b5604e638f4659f3,Юриспруденция,0
N_178ca1bc97def4d8fb6e0994,Юриспруденция,3
N_1810fb66b4a671323c70c66e,Дизайн,0
N_184eea6951a86bf1e6c5cde1,IT-разработка и цифровые сервисы,3
N_1861bc6068f714bd3fdfa3f8,IT-разработка и цифровые сервисы,3
N_186606deecf58dd237442d1a,Дизайн,0
N_1872d41099fa89d6b20cb99c,Дизайн,2
N_188a6cd9c3a28e7b77accc3d,Копирайтинг и редакция текста,3
N_196264d46dc401ad3bf17bfb,Копирайтинг и редакция текста,0
N_1988f0f4fdf70ec61b8dca66,Дизайн,4
N_19b639d28582fd23f1473f2a,IT-разработка и цифровые сервисы,2
N_1ae049c5fd1cb1bcda6c018b,"Маркетинг (SMM, реклама, продвижение)",0
N_1b66152831be76cbe812fd70,Дизайн,4
N_1b72c366c9d95184b5fe1fca,Дизайн,2
N_1b81dca9aeea6cbfaa7610a3,IT-разработка и цифровые сервисы,4
N_1ba191e38237b81dede66151,Дизайн,4
N_1baef5d2f27592e420daad4b,Юриспруденция,0
N_1c4618cb4374b8a3af81a2a3,Дизайн,3
N_1d4e42f2ab95df6069df69ee,Строительство и ремонт,2
N_1d4f2456cc8b7409ffc95ad1,IT-разработка и цифровые сервисы,4
N_1df3b330fda76c0a5bed5b6b,IT-разработка и цифровые сервисы,2
N_1dfa5dce9dfa7b0d2201176b,Дизайн,3
N_1e2b6df5fb0129d313e3a1bd,Переводы,3
N_1e3385a4f9d52791a4b06f41,"Фото и видеосъемка, монтаж",0
N_1f0162192df688ff58a1a26d,IT-разработка и цифровые сервисы,1
N_1f719b8471e2d4136ffa7cf3,"Маркетинг (SMM, реклама, продвижение)",4
N_202333be7e042843c4e500d6,Юриспруденция,0
N_209ea42e976d0214ea975ad6,Дизайн,3
N_21cf460e30ac1164f8529ff0,IT-разработка и цифровые сервисы,3
N_2246b28dbf02ff835290cc6e,Юриспруденция,4
N_224a63bf6ed014ccc291bbdd,Юриспруденция,2
N_2292c02a70509311bdd37c85,IT-разработка и цифровые сервисы,1
N_22bd455b99c17ebbb1fe1686,"Фото и видеосъемка, монтаж",1
N_2303ff6807953ce9b8b7474b,IT-разработка и цифровые сервисы,0
N_230a6f1e8abb799645be8003,Дизайн,0
N_2311bc5f5d40928d9db26f8d,Дизайн,3
N_23959d8cc4e20e5d39f3f9bb,Дизайн,2
N_23a093321895ee69436e21c4,Дизайн,1
N_23ff8e0f5314e8f7d5de9715,Дизайн,4
N_2410eaf5b2ee956a92126725,Копирайтинг и редакция текста,3
N_2434fc72d063a71639c0eed4,Копирайтинг и редакция текста,0
N_24355061d107d706588eda87,Юриспруденция,4
N_251e803e9bbdb5c0f55ce0f2,"Маркетинг (SMM, реклама, продвижение)",1
N_25337e688697260e3af3c050,Помощь на дому,2
N_2606b3bf909610cd55ca7949,Копирайтинг и редакция текста,1
N_2620740a96d2791070b0ba24,Копирайтинг и редакция текста,3
N_26c6667789f9925ed388644d,Дизайн,1
N_26c7e976c8161488ab704d3c,IT-разработка и цифровые сервисы,2
N_26cca27551c756ef699942d3,Дизайн,2
N_2701f280a93aeb332eeb5786,"Логистика, перевозки",3
N_2752509afe0ff99bc0816a6d,IT-разработка и цифровые сервисы,2
N_27665c60daba05d6eb99e066,Юриспруденция,1
N_27b1821119d6eb6d663e4975,IT-разработка и цифровые сервисы,3
N_27dac28fbfafa135b89d8777,IT-разработка и цифровые сервисы,2
N_280fc089ce5f5e5f922b51cd,Копирайтинг и редакция текста,2
N_28319a2e8fd485af16979b2f,"Фото и видеосъемка, монтаж",1
N_285bbb813c62fa3a8a5317bd,Дизайн,0
N_289611890d600337943cfbd4,Копирайтинг и редакция текста,4
N_289b248112d208874af4a2f2,IT-разработка и цифровые сервисы,3
N_29058b408f95143692ccd326,Дизайн,2
N_293821bfa9d51d5050520ad4,Юриспруденция,4
N_2a29774dee3dfe0e65f9d8f9,"Маркетинг (SMM, реклама, продвижение)",0
N_2a6dfb31ddbb65bfcc6de9ee,Дизайн,1
N_2aa7e1d463245bda24ddd6f9,Дизайн,0
N_2af82fb22bacf56fb41c3cb2,Дизайн,4
N_2afdb6284932c62932e59046,Копирайтинг и редакция текста,1
N_2afef2af1534c59cc5f6cbfe,Юриспруденция,3
N_2b77c83daeb63db058fd6217,Юриспруденция,1
N_2bc5e8cdff6a118215568852,"Маркетинг (SMM, реклама, продвижение)",0
N_2bf3e0412cf3914ec23bf849,Дизайн,4
N_2c285e699db3c10bd0d3a487,Копирайтинг и редакция текста,2
N_2ca8deae12195fb4086f1312,Дизайн,2
N_2cae22c9658dd77f83b715b0,Копирайтинг и редакция текста,2
N_2ce59bb0050d4a94fcb1dea4,IT-разработка и цифровые сервисы,4
N_2e10a19d5f51652d4db63323,Дизайн,2
N_2e13d235ee639f319c3ddc5b,Копирайтинг и редакция текста,1
N_2e31eec45d2581ee38b318cb,Дизайн,0
N_2e521fb616e4a3a4d0181562,IT-разработка и цифровые сервисы,2
N_2eb6554c01f10347a7bdd171,Юриспруденция,4
N_2f07c5f070963a80b8d25411,Юриспруденция,3
N_2f8a4c444dad9dc1874a6405,IT-разработка и цифровые сервисы,3
N_2fb88915c58076099bbc7a0c,Копирайтинг и редакция текста,2
N_2fe19c2872026bf89bde3627,IT-разработка и цифровые сервисы,2
N_301482151ad785f37b370e6f,"Маркетинг (SMM, реклама, продвижение)",1
N_306c8807c3b1dd0320ce70a4,Дизайн,4
N_307f116f6445b19fb841737d,Дизайн,4
N_30a5aeb589b670277cf8035c,"Маркетинг (SMM, реклама, продвижение)",1
N_316ce644db2250001fc56f1d,"Маркетинг (SMM, реклама, продвижение)",3
N_325e4535f7f61ec8f9d488ba,Дизайн,2
N_32681415309b575d6eec050b,Копирайтинг и редакция текста,0
N_327fc2d4e09b853c670e1b93,Юриспруденция,3
N_328aa949622805cae4b03167,Юриспруденция,4
N_33171500f62ec9120a1b40cf,Дизайн,2
N_3327ff70450975eed68f474f,Юриспруденция,0
N_33346363a66c60de9ba7ff4d,IT-разработка и цифровые сервисы,4
N_33b96c133a5be3ec678be241,Юриспруденция,1
N_33b998e0f09405db1fcb48d1,Строительство и ремонт,3
N_33cc66235f33ee0ee6a6658d,"Маркетинг (SMM, реклама, продвижение)",2
N_3438bd786b4b963789f56b6a,Дизайн,3
N_34b1b135f28509235106d8c2,Строительство и ремонт,4
N_34b3c81a0bfce96dbba414b5,Копирайтинг и редакция текста,4
N_34daf95160139b1af2b2781d,"Маркетинг (SMM, реклама, продвижение)",3
N_34e79a0627eed6a65ceed4a5,Копирайтинг и редакция текста,3
N_357a1efcd5f8a55cee19e682,IT-разработка и цифровые сервисы,2
N_35876a10e1f26b271f445dda,Дизайн,0
N_3597ca873eb237eebdf59266,"Маркетинг (SMM, реклама, продвижение)",2
N_3616351efaa44add1cef9273,Копирайтинг и редакция текста,1
N_3661342ebff384f33284d580,Дизайн,0
N_36b1e5edc2e035345d7b73d0,Копирайтинг и редакция текста,4
N_36c7714bf912484a47785e24,Переводы,3
N_36e561f226e73f00f8bbd280,Дизайн,0
N_36fa53f530ca89944028dcad,Дизайн,0
N_37918abd94fd20cc70093270,Переводы,1
N_3837582aec995e7e17b12e23,Строительство и ремонт,1
N_3856a697ff10af2d84ba511e,IT-разработка и цифровые сервисы,1
N_386441a1785c4eb4e2ad7f65,Копирайтинг и редакция текста,1
N_39098027b105c5308b096d52,IT-разработка и цифровые сервисы,4
N_3962b5d9706acfd196bf99a3,"Маркетинг (SMM, реклама, продвижение)",0
N_39e87085cf46cf7a8683be89,"Маркетинг (SMM, реклама, продвижение)",1
N_3a03bac678807f6049a2eddc,Дизайн,4
N_3a472a4057864dc30d43bceb,Юриспруденция,3
N_3a52b15839356799bf85ff66,IT-разработка и цифровые сервисы,3
N_3a6a07dc4711b64eb64214e7,IT-разработка и цифровые сервисы,2
N_3ac93f3ef2abca54e28e3a04,Переводы,4
N_3adb3fbd0631953c0e91348e,Копирайтинг и редакция текста,3
N_3adf394442b2d9e35407fb30,Юриспруденция,0
N_3bf627cd4fd5ae4f2d61c468,Юриспруденция,3
N_3c09a6eea9e74b4e0df1b97e,Копирайтинг и редакция текста,4
N_3c55a71845525ecfe7294566,Дизайн,4
N_3c7ba7c783b7fe79675642c2,Копирайтинг и редакция текста,2
N_3cb5f15dfd395f92f7bd0df6,Дизайн,0
N_3d79c559cf47457a22f92a1d,Копирайтинг и редакция текста,3
N_3d7f531ceb3fc91297262808,Копирайтинг и редакция текста,3
N_3de6d8dfc29e93a43bb9e93c,Юриспруденция,3
N_3df3afa4a1331583d37f8fa1,Дизайн,0
N_3e13f56fa0abbe718a0a6124,IT-разработка и цифровые сервисы,2
N_3ef749a12a103904c3b76e40,Дизайн,3
N_3f10613a3991067eba421df0,Юриспруденция,1
N_3f3543bbde92840c8fb92913,IT-разработка и цифровые сервисы,0
N_3f8d80dd63bceaaf5f12899a,Копирайтинг и редакция текста,1
N_3fe0d30d8c888845a570abd1,Юриспруденция,1
N_3fe7d8ad21bde892e6aab665,Дизайн,3
N_3ff899df6ab67eeecf97f2bb,Переводы,4
N_4000c9475af048cc1e215346,Дизайн,3
N_410439d3d1253f272c8ab57f,IT-разработка и цифровые сервисы,0
N_410a785bfa6101cc86c5eac4,Дизайн,3
N_4129e725bc1df272653218c3,IT-разработка и цифровые сервисы,1
N_41970a0e46cb068eaeea4b5d,IT-разработка и цифровые сервисы,4
N_41d8ff3677aa851c16ef6458,IT-разработка и цифровые сервисы,3
N_4213b16dafb6563a1635bcba,Дизайн,4
N_42276746c20c4432d9e63413,IT-разработка и цифровые сервисы,3
N_42c03862f93661bac215172f,Переводы,2
N_430db8eecc24c62c98e685cc,Копирайтинг и редакция текста,3
N_432cb62dbd663c2da606e319,IT-разработка и цифровые сервисы,2
N_4363c5f216e74d6f9c71b893,Дизайн,0
N_437607ade42d95e4516d3a52,Дизайн,4
N_443d59e1a8bd32a240617cbb,Дизайн,3
N_448a49493ee81caea7fb0b9e,Дизайн,0
N_44be9e261ba329ad05123bab,Копирайтинг и редакция текста,1
N_45f9b4a199eef47de877eeed,Дизайн,1
N_4683ce58e06f925613a70012,Дизайн,4
N_46c3bb4a7cb67db74dad0eb1,IT-разработка и цифровые сервисы,4
N_46df882e14c4dc1f1652aa2e,Строительство и ремонт,0
N_47154d40930f769c6bd09fe8,IT-разработка и цифровые сервисы,2
N_47555894064fb613ccdda4a5,IT-разработка и цифровые сервисы,0
N_49193728bc18636f1a22a89f,Дизайн,4
N_49209f50451ef8c25b2feeb8,Копирайтинг и редакция текста,1
N_4924aac48dca8a3e1dc01107,Копирайтинг и редакция текста,0
N_49a2e1540f63c99be05ddfe6,Копирайтинг и редакция текста,2
N_4a371f08815f6c625f0c6c2a,Копирайтинг и редакция текста,2
N_4a483325e48f6ccb67235bdc,Дизайн,4
N_4ae4ced3af3a6dfae03e877d,Копирайтинг и редакция текста,4
N_4b7d20f577b223e29f81fdd3,Дизайн,0
N_4c80503855c2c3494bda0408,"Маркетинг (SMM, реклама, продвижение)",2
N_4c85d59618a7c68bfa9d0efd,Юриспруденция,4
N_4d5bd207a52f90dfd5646b86,Дизайн,3
N_4db252eb39a6d38670743b21,IT-разработка и цифровые сервисы,3
N_4e2d20c51f57c4b4fceeaae8,"Маркетинг (SMM, реклама, продвижение)",0
N_4ee8f6a393b937049f94ae79,Копирайтинг и редакция текста,2
N_4f07f19a4236883877f89042,Копирайтинг и редакция текста,4
N_4f1d5c5860a9402075669de6,Юриспруденция,3
N_4f1fd8e5b4962b55d389dfc6,IT-разработка и цифровые сервисы,4
N_4f2fe03257ed3577e4606545,Дизайн,2
N_4f4e21244e17dfc2553881bb,IT-разработка и цифровые сервисы,4
N_4f74a67e8e3c88450280cbe4,Дизайн,3
N_4f773b9419ab5cee22c98775,Копирайтинг и редакция текста,4
N_4fe7d9d81b05e1e64c52eef9,Копирайтинг и редакция текста,1
N_512f79040478c00aee4bf266,Дизайн,0
N_514d07c5b6c8c12565ea5af5,Дизайн,0
N_528e49d693cb2d474a00b2c8,Копирайтинг и редакция текста,0
N_52c25d8da9e47fe774a61f35,Дизайн,1
N_52e8709e53893d33c39111b7,Дизайн,3
N_52e8df945bc2f1e1077e0981,Дизайн,4
N_53160840ab7cd24e5bec7d17,Строительство и ремонт,1
N_5362a85ca7fad410570b4cb1,Дизайн,0
N_5386cd5c47d6e8fc5796541a,Копирайтинг и редакция текста,3
N_53ab4ada75a5bd725e68bb96,Копирайтинг и редакция текста,1
N_53db50fc00e0882d4953ef81,Копирайтинг и редакция текста,4
N_54b20e921a59a6f6ae2f0f2f,Дизайн,4
N_5521f35fea0aa4208ad96abf,Дизайн,2
N_554d0db99c1ff925070217a8,"Маркетинг (SMM, реклама, продвижение)",4
N_55cce48a4b5ea5b52d81be38,Дизайн,3
N_561f252111ac54892259c22f,IT-разработка и цифровые сервисы,1
N_56269943c30c89a2d1adf25a,IT-разработка и цифровые сервисы,1
N_565b54a365e2adbd00622e4c,Дизайн,1
N_566e26ef2b1eb6bafc35ab38,Переводы,2
N_56724f7ec986e8a41926ae1e,Переводы,4
N_56a0fc234c54d9f70d1cf777,Копирайтинг и редакция текста,4
N_56b2daf6eed18167a4adf346,Копирайтинг и редакция текста,0
N_56e6eb449d9b77a649d4ae61,Переводы,0
N_5713950c324aee19abfea67d,Дизайн,1
N_5749966592a6bd08cfa787fb,Дизайн,3
N_574e7dd728f42ca0ce3e4eda,Копирайтинг и редакция текста,3
N_57eed4bbad22c1ef6a87d2c7,Переводы,0
N_58615dd00e4fc13c50eb07ba,Дизайн,3
N_58667cf8cfac6493438afc0a,Юриспруденция,4
N_5866928bc8d94844c2f9bbb9,Юриспруденция,2
N_58d26af5bcc0f8d00a677760,Копирайтинг и редакция текста,2
N_593122aa3c4f0df9582b70be,Дизайн,2
N_59350e2ffa29f052e15ed33e,Копирайтинг и редакция текста,2
N_59c8d5ca8f8e923a11a7501e,Юриспруденция,1
N_5a1d8301007547ef8148251c,Копирайтинг и редакция текста,1
N_5a7021e30c0f1dd38595ba59,Юриспруденция,3
N_5a921a4ae353e0b3c180c4e7,Дизайн,4
N_5aa6dfb48366fabd2efd2598,Строительство и ремонт,0
N_5af19cf95762cba0649f335b,IT-разработка и цифровые сервисы,0
N_5b1782b15839a7bd84888cce,Строительство и ремонт,2
N_5b1ecbf4a47bb1535439a275,Юриспруденция,4
N_5b31f2b9be96610436f044e1,"Маркетинг (SMM, реклама, продвижение)",2
N_5b5925912d98b2403d9147e4,Дизайн,1
N_5c79824ef02cdb4f077d68fe,Юриспруденция,0
N_5d431239ceb3695e16fc9524,"Маркетинг (SMM, реклама, продвижение)",4
N_5dee2a3827463d229812b8c6,Дизайн,0
N_5f0f8de6b27a90efff70d629,IT-разработка и цифровые сервисы,0
N_5f7ebd2952330f3fde21fd3c,Помощь на дому,3
N_5f949e37fb94f41ad51509c4,Дизайн,4
N_5f98eb3a8a4905a7b0d277aa,"Логистика, перевозки",3
N_60b04e0a0d8cf15688273654,IT-разработка и цифровые сервисы,2
N_6109f9229b6a28922d69468f,"Маркетинг (SMM, реклама, продвижение)",4
N_618ff1f6560f1c7104562794,Копирайтинг и редакция текста,0
N_6197b1c156d15c0d05ec3cff,Помощь на дому,3
N_623d031f24a48aa80537f768,Переводы,2
N_6267b19a3a93662b42487c8b,Копирайтинг и редакция текста,1
N_628a2fe12899ad20d120ce4a,Дизайн,2
N_6350fcd2e21b875398650b2e,Переводы,1
N_63524179583c9849737eeb56,Дизайн,1
N_641cb9edd43356bc5a1d6a11,"Маркетинг (SMM, реклама, продвижение)",2
N_6428ac285a6d51297d33bc75,Копирайтинг и редакция текста,3
N_6445a70c5f04cc2eff21e22e,Дизайн,3
N_6469a6cddf6d2e4e0679b5d1,Копирайтинг и редакция текста,2
N_6486d969ae80111d928c4c67,Дизайн,0
N_6594e386ae65bf2367ce4dac,IT-разработка и цифровые сервисы,0
N_65ea594b69823186075b6d0e,IT-разработка и цифровые сервисы,3
N_66436011fd1da8c2deced897,Юриспруденция,4
N_6643692d4066fb2d3897e417,"Маркетинг (SMM, реклама, продвижение)",1
N_6649738a93ce24509e898efa,Дизайн,2
N_66646771c98ef7873028bbeb,"Маркетинг (SMM, реклама, продвижение)",1
N_669f655b19d663b8a5e49b4e,Дизайн,1
N_66da682a0a3d2b093578bf28,Копирайтинг и редакция текста,0
N_66efe56d0a77301e386bf54e,Копирайтинг и редакция текста,4
N_67397028c430dfb945f9bd2f,Юриспруденция,3
N_67675c55e60275845a9d52c7,Дизайн,4
N_67a69175a0e104ba8ff77aca,Переводы,1
N_680f633bf4e967da11e007d6,Дизайн,4
N_6915bdb3df183fed8bbbe684,Строительство и ремонт,3
N_691e3afbbc4141b2edaca714,Дизайн,0
N_69617fe4a5ba2b929a885303,Строительство и ремонт,0
N_698e79301c473558e568b07c,Копирайтинг и редакция текста,4
N_6a7e7ff5e63650c0a8e59aa4,Копирайтинг и редакция текста,3
N_6aa6b8871c18130993271b09,"Маркетинг (SMM, реклама, продвижение)",4
N_6ad414af2b3681976f8b492b,Дизайн,1
N_6adddac7dc4c75332ce42d11,IT-разработка и цифровые сервисы,0
N_6afef6cbdcb6841726d1c165,Переводы,2
N_6b195d785e18486260554a48,"Фото и видеосъемка, монтаж",2
N_6b3218da2ab9c301e0856b0b,Копирайтинг и редакция текста,0
N_6b97401d1640b6ec504e5173,Строительство и ремонт,4
