need_id,category,split
N_ebc9559a424de306b0dc1b4a,Дизайн,dev
N_f2365df8c9e0e164bcfe642f,Дизайн,train
N_f736b2786a4ba70e69b82c54,Дизайн,train
N_d7b293dde3307f437cd86295,Дизайн,train
N_7d3e725a4160d813ab382bed,"Маркетинг (SMM, реклама, продвижение)",train
N_6aa6b8871c18130993271b09,"Маркетинг (SMM, реклама, продвижение)",train
N_1988f0f4fdf70ec61b8dca66,Дизайн,train
N_7f05cc1dbe0cfa08d68f35e9,Дизайн,train
N_f8865b66aaea796680aa32f9,Дизайн,train
N_048d51a36772a82acfae331a,IT-разработка и цифровые сервисы,train
N_74cf3abc1b8a998d0b8bb91f,Дизайн,train
N_7107a11424e7d223c9d76676,Дизайн,train
N_8e4408cc2d37b84ae84fb320,"Маркетинг (SMM, реклама, продвижение)",train
N_6737b2fb7a7a25e309d51dd2,"Маркетинг (SMM, реклама, продвижение)",dev
N_06588f2889c9810db7e3bc4d,IT-разработка и цифровые сервисы,train
N_53ab4ada75a5bd725e68bb96,Копирайтинг и редакция текста,train
N_6e2ba29cd7550f6dc105a4d5,Дизайн,dev
N_783150a8b3070e8ed3ea85ea,Дизайн,train
N_2292c02a70509311bdd37c85,IT-разработка и цифровые сервисы,train
N_3962b5d9706acfd196bf99a3,"Маркетинг (SMM, реклама, продвижение)",train
N_a00829642e8ec3e95acb4219,Дизайн,train
N_0b188abdf341c8956613777f,Копирайтинг и редакция текста,train
N_5b31f2b9be96610436f044e1,"Маркетинг (SMM, реклама, продвижение)",train
N_661f3d42bba99eaeabacba43,IT-разработка и цифровые сервисы,dev
N_301482151ad785f37b370e6f,"Маркетинг (SMM, реклама, продвижение)",train
N_1f0162192df688ff58a1a26d,IT-разработка и цифровые сервисы,train
N_d4ee321c67339f2fd3681716,IT-разработка и цифровые сервисы,train
N_561f252111ac54892259c22f,IT-разработка и цифровые сервисы,train
N_c26c294df0710c8a062132ef,IT-разработка и цифровые сервисы,dev
N_e0c9cb4e8d94b308a68d607b,IT-разработка и цифровые сервисы,dev
N_fc1eb9bdef43df33e7ee1eda,IT-разработка и цифровые сервисы,dev
N_ed2a6e44f0cfcdcf207cba97,IT-разработка и цифровые сервисы,train
N_41970a0e46cb068eaeea4b5d,IT-разработка и цифровые сервисы,train
N_ff37ec3820a661babc5e9a30,IT-разработка и цифровые сервисы,train
N_56269943c30c89a2d1adf25a,IT-разработка и цифровые сервисы,train
N_4129e725bc1df272653218c3,IT-разработка и цифровые сервисы,train
N_6594e386ae65bf2367ce4dac,IT-разработка и цифровые сервисы,train
N_e7f697db0ef2fcb526131578,IT-разработка и цифровые сервисы,train
N_a889a6dc41f6e46f12aa99ab,IT-разработка и цифровые сервисы,train
N_21cf460e30ac1164f8529ff0,IT-разработка и цифровые сервисы,train
N_27b1821119d6eb6d663e4975,IT-разработка и цифровые сервисы,train
N_5c845acb350dba7d9273a53c,IT-разработка и цифровые сервисы,dev
N_de6b9ecd296ed58771eb438d,IT-разработка и цифровые сервисы,train
N_0cd379fd6749f5fc437683bf,IT-разработка и цифровые сервисы,train
